keyword,concept_name,board_change_pct,board_main_force,board_amount,up_count,down_count,total_count,theme_rank,sort_by,data_date,code,name,close,change_pct,turnover,amount,main_force,note
商业航天,商业航天,2.1,62.41,3022.28,440,0,62,1,change_pct,2026-09-20,688292,浩瀚深度,23.02,20.02,6.81,2.36,-0.22449200000000002,
商业航天,商业航天,2.1,62.41,3022.28,440,0,62,2,change_pct,2026-09-20,688175,高凌信息,21.74,19.98,7.15,2.47,-0.004439,
商业航天,商业航天,2.1,62.41,3022.28,440,0,62,3,change_pct,2026-09-20,300836,佰奥智能,62.6,19.42,13.15,4.99,0.0004650000000000001,
商业航天,商业航天,2.1,62.41,3022.28,440,0,62,4,change_pct,2026-09-20,688790,昂瑞微,102.95,14.41,27.44,5.28,0.7211550000000001,
商业航天,商业航天,2.1,62.41,3022.28,440,0,62,5,change_pct,2026-09-20,301366,一博科技,74.42,12.04,20.86,17.82,1.28,
商业航天,商业航天,2.1,62.41,3022.28,440,0,62,6,change_pct,2026-09-20,688220,翱捷科技,100.31,11.17,3.61,14.89,2.55,
商业航天,商业航天,2.1,62.41,3022.28,440,0,62,7,change_pct,2026-09-20,300786,国林科技,15.8,10.72,12.45,2.81,0.369277,
商业航天,商业航天,2.1,62.41,3022.28,440,0,62,8,change_pct,2026-09-20,000410,沈阳机床,5.57,10.08,3.45,3.67,-1.03,
商业航天,商业航天,2.1,62.41,3022.28,440,0,62,9,change_pct,2026-09-20,600261,阳光照明,3.51,10.03,6.67,3.06,0.340081,
商业航天,商业航天,2.1,62.41,3022.28,440,0,62,10,change_pct,2026-09-20,001229,魅视科技,39.99,10.01,7.4,2.08,0.02204,
核聚变,可控核聚变,2.0,21.64,769.86,102,0,14,1,change_pct,2026-09-20,600261,阳光照明,3.51,10.03,6.67,3.06,0.340081,
核聚变,可控核聚变,2.0,21.64,769.86,102,0,14,2,change_pct,2026-09-20,001332,锡装股份,28.9,10.01,7.44,1.39,0.12484200000000001,
核聚变,可控核聚变,2.0,21.64,769.86,102,0,14,3,change_pct,2026-09-20,600577,精达股份,8.72,9.96,6.12,11.58,-2.09,
核聚变,可控核聚变,2.0,21.64,769.86,102,0,14,4,change_pct,2026-09-20,688600,皖仪科技,37.1,8.61,7.51,3.75,0.630069,
核聚变,可控核聚变,2.0,21.64,769.86,102,0,14,5,change_pct,2026-09-20,000811,冰轮环境,41.52,7.4,6.96,27.13,3.86,
核聚变,可控核聚变,2.0,21.64,769.86,102,0,14,6,change_pct,2026-09-20,002735,王子新材,12.95,7.38,21.88,8.1,-1.5,
核聚变,可控核聚变,2.0,21.64,769.86,102,0,14,7,change_pct,2026-09-20,300827,上能电气,25.66,7.09,4.17,4.57,1.06,
核聚变,可控核聚变,2.0,21.64,769.86,102,0,14,8,change_pct,2026-09-20,688711,宏微科技,29.32,5.85,7.64,4.82,0.303377,
核聚变,可控核聚变,2.0,21.64,769.86,102,0,14,9,change_pct,2026-09-20,600363,联创光电,16.06,5.52,7.74,5.52,0.5553790000000001,
核聚变,可控核聚变,2.0,21.64,769.86,102,0,14,10,change_pct,2026-09-20,688719,爱科赛博,56.0,5.16,5.54,2.75,0.216741,
