code,total,roe_score,roe_annual,gross_score,gross_mean,debt_score,debt_latest,cashflow_score,cashflow_pos_years,valuation_score,pe_pct,pb_pct
600519,100,30,"27.7,31.8,34.6,37.0,33.6",20,91.7,15,16.4,20,5,15,0.04,0.03
002415,97,27,"26.5,18.8,18.5,14.8,17.0",20,44.1,15,33.9,20,5,15,0.06,0.17
000858,94,24,"23.6,23.4,23.3,23.9,7.5",20,76.2,15,35.7,20,5,15,0.23,0.0
603288,91,30,"28.5,23.5,19.7,20.5,17.0",11,37.3,15,19.8,20,5,15,0.01,0.02
600887,84,30,"18.2,18.8,19.5,15.9,21.2",16,32.8,3,61.5,20,5,15,0.2,0.15
600276,79,9,"12.9,10.3,10.6,13.9,12.6",20,85.2,15,11.6,20,5,15,0.01,0.0
300750,73,30,"18.9,18.7,22.3,20.6,21.4",5,23.3,3,61.9,20,5,15,0.08,0.09
000651,69,30,"22.2,25.3,24.8,23.4,19.9",5,27.8,3,61.7,20,5,11,0.31,0.04
601888,66,9,"32.6,10.4,12.5,7.7,6.5",11,31.7,15,18.5,16,4,15,0.1,0.0
600900,65,18,"14.5,11.5,13.5,15.4,15.6",20,59.6,3,58.3,20,5,4,0.49,0.83
000333,63,30,"22.9,20.7,20.7,17.8,19.7",10,25.0,3,61.2,20,5,0,0.54,0.51
601899,61,30,"22.1,22.6,19.6,22.9,27.9",0,19.0,3,51.6,20,5,8,0.11,0.84
002594,58,18,"3.2,15.0,21.6,21.7,13.2",5,17.2,0,70.7,20,5,15,0.22,0.25
601012,48,18,"19.1,23.8,15.2,-14.2,-11.8",0,12.5,3,64.4,16,4,11,0.36,0.04
600585,48,6,"18.1,8.5,5.6,4.1,4.2",0,22.7,15,20.4,20,5,7,0.88,0.01
601318,44,9,"12.5,9.8,9.5,13.6,13.5",0,,0,89.8,20,5,15,0.0,0.25
600036,40,9,"14.6,13.6,12.1,11.8",0,,0,90.2,20,5,11,0.34,0.18
000001,27,0,"10.5,9.8,9.0,7.7",0,,0,90.7,16,4,11,0.37,0.15
600030,27,0,"11.0,8.4,7.3,7.4,9.4",0,,0,84.3,16,4,11,0.0,0.45
601166,22,3,"12.2,9.7,8.8,8.6",0,,0,91.8,8,2,11,0.44,0.07
